FieldName,DataType,SourceProduct,Description,ManuallyVerifiedStatus
profileUrl,String,Both,The input LinkedIn profile URL.,Verified
firstName,String,Both,Extracted legal first name.,Verified
lastName,String,Both,Extracted legal last name.,Verified
location,String,Both,Geographic location string (derived from geoLocationName).,Verified
linkedinHeadline,String,Both,Primary headline / subtitle containing professional tags.,Verified
linkedinDescription,String,Both,The 'About / Summary' text section of the profile.,Verified
linkedinFollowersCount,Integer,Both,Total number of followers.,Verified
linkedinConnectionsCount,Integer,Both,Total number of connections.,Verified
connectionDegree,String,Both,"Degree of connection (1st, 2nd, 3rd+).",Verified
connectionsUrl,String,Both,URL pointing to the user's connection list.,Verified
mutualConnectionsUrl,String,Both,URL pointing to the mutual connections list.,Verified
companyName,String,Both,Name of the current employing company.,Verified
companyIndustry,String,Both,Industry of the current company (requires company enrichment toggle).,Verified
companyWebsite,String,Both,Website of the current company (requires company enrichment toggle).,Verified
linkedinCompanyUrl,String,Both,LinkedIn URL of the current company.,Verified
linkedinCompanySlug,String,Both,Vanilla slug of the current company.,Verified
linkedinJobTitle,String,Both,The title of the most recent / current experience entry.,Verified
linkedinJobDateRange,String,Both,"Date range of the most recent experience (e.g., 'Jan 2020 - Present').",Verified
linkedinJobLocation,String,Both,Geographic location of the most recent experience.,Verified
linkedinJobDescription,String,Both,Text description of the most recent experience.,Verified
previousCompanyName,String,Both,Name of the immediate previous employing company.,Verified
linkedinPreviousCompanySlug,String,Both,LinkedIn company slug of the immediate previous employer.,Verified
linkedinPreviousJobTitle,String,Both,Job title of the immediate previous experience entry.,Verified
linkedinPreviousJobDateRange,String,Both,Date range of the immediate previous experience.,Verified
linkedinPreviousJobLocation,String,Both,Location of the immediate previous experience.,Verified
linkedinPreviousJobDescription,String,Both,Description text of the immediate previous experience.,Verified
linkedinSchoolName,String,Both,Name of the most recent educational institution.,Verified
linkedinSchoolUrl,String,Both,LinkedIn URL of the most recent educational institution.,Verified
linkedinSchoolDegree,String,Both,Degree earned at the most recent educational institution.,Verified
linkedinSchoolDateRange,String,Both,Date range of attendance at the most recent educational institution.,Verified
linkedinSchoolDescription,String,Both,Description text of the most recent education.,Verified
linkedinSchoolCompanySlug,String,Both,Company slug associated with the most recent educational institution.,Verified
linkedinPreviousSchoolName,String,Both,Name of the immediate previous educational institution.,Verified
linkedinPreviousSchoolUrl,String,Both,LinkedIn URL of the immediate previous school.,Verified
linkedinPreviousSchoolDegree,String,Both,Degree earned at the immediate previous school.,Verified
linkedinPreviousSchoolDateRange,String,Both,Date range of attendance at the immediate previous school.,Verified
linkedinPreviousSchoolDescription,String,Both,Description of the immediate previous education.,Verified
linkedinPreviousSchoolCompanySlug,String,Both,Company slug associated with the previous school.,Verified
linkedinProfileId,String,Both,Alphanumeric tracking identifier unique to the user.,Verified
linkedinProfileSlug,String,Both,"Canonical vanity URL slug (e.g., 'john-doe').",Verified
linkedinProfileUrn,String,Both,Immutable internal platform identifier (URN format: 'urn:li:member:12345').,Verified
linkedinProfileImageUrl,String,Both,Direct URL pointing to the user's profile image.,"Contradicted (Claims No, Schema Yes)"
linkedinProfileImageUrn,String,Both,Direct image URN identifier.,"Contradicted (Claims No, Schema Yes)"
professionalEmail,String,Both,Extracted business email (requires integrated email discovery).,Verified
refreshedAt,Timestamp,Both,Timestamp of execution (seconds/milliseconds).,Verified
endorsementsCount,Integer,Visitor Only,Total count of skill endorsements.,Verified
skillsList,Array,Visitor Only,Full list of verified skills.,Verified
fullProfileScreenshot,String,Visitor Only,Base64 or cloud image link of the rendered profile screenshot.,Verified
