Section Name,Endpoint Path,HTTP Method,Parameter Syntax,Response Family,Primary Key Requirement,Viewer Dependency Level,Stability,Evidence
Core Identity & Summary,https://www.linkedin.com/voyager/api/graphql,POST,"JSON body payload with queryId voyagerIdentityDashProfiles.d831bf85b9873ef0228a2bab19781290",GraphQL,Vanity URL Slug or Member ID,Low,Moderate,SRC-002; Swarmhit (2026)
Work Experience (Paginated),https://www.linkedin.com/voyager/api/identity/profiles/{id}/positions,GET,"start=X&count=Y",Rest.li,Stable Member URN,Low,Moderate,nsandman/linkedin-api; Go Package
Education History (Paginated),https://www.linkedin.com/voyager/api/identity/profiles/{id}/educations,GET,"start=X&count=Y",Rest.li,Stable Member URN,Low,Moderate,nsandman/linkedin-api; Go Package
Skills List (Paginated),https://www.linkedin.com/voyager/api/identity/profiles/{id}/skills,GET,"start=X&count=Y",Rest.li,Stable Member URN,Low,Moderate,nsandman/linkedin-api; Go Package
Certifications,https://www.linkedin.com/voyager/api/identity/profiles/{id}/certifications,GET,"start=X&count=Y",Rest.li,Stable Member URN,Low,Moderate,KGP Talkie (2026); Go Package
Languages,https://www.linkedin.com/voyager/api/identity/profiles/{id}/languages,GET,"start=X&count=Y",Rest.li,Stable Member URN,Low,Moderate,KGP Talkie (2026); Go Package
Volunteer Experiences,https://www.linkedin.com/voyager/api/identity/profiles/{id}/volunteerExperiences,GET,"start=X&count=Y",Rest.li,Stable Member URN,Low,Moderate,nsandman/linkedin-api; Go Package
Projects,https://www.linkedin.com/voyager/api/identity/profiles/{id}/projects,GET,"start=X&count=Y",Rest.li,Stable Member URN,Low,Moderate,nsandman/linkedin-api; Go Package
Publications,https://www.linkedin.com/voyager/api/identity/profiles/{id}/publications,GET,"start=X&count=Y",Rest.li,Stable Member URN,Low,Moderate,nsandman/linkedin-api; Go Package
Honors & Awards,https://www.linkedin.com/voyager/api/identity/profiles/{id}/honors,GET,"start=X&count=Y",Rest.li,Stable Member URN,Low,Moderate,nsandman/linkedin-api; Go Package
Contact Info,https://www.linkedin.com/voyager/api/identity/profiles/{id}/contactInfo,GET,Standard resource identifier,Rest.li,Stable Member URN,High,High,nsandman/linkedin-api; Go Package
Company Details (Enrichment),https://www.linkedin.com/voyager/api/entities/companies/{companyId},GET,"decorationId parameter string",Rest.li,Company ID,Low,High,nsandman/linkedin-api; Bytescrum
Profile Picture Assets,https://www.linkedin.com/voyager/api/graphql,POST,"JSON payload with digitalmediaAsset URN",GraphQL,digitalmediaAsset URN,Low,Moderate,Microsoft Learn; Go Package
Background Picture Assets,https://www.linkedin.com/voyager/api/graphql,POST,"JSON payload with digitalmediaAsset URN",GraphQL,digitalmediaAsset URN,Low,Moderate,Microsoft Learn; Go Package
